IG032	 -79.1136   42.7815  -173.546   116.374   175.747  -4.01764   9.51683  -29.0973   18.8445   86.6706   2.72143  -5.34486  -8.99428    13.604  -4.16729 -0.797769   12.8814  -14.4103   5.33711   2.50276
IG033	 5.44959 -16.9452 -66.4712  35.6632  149.145 -13.1451  6.25068 -6.71417  5.09602  45.0791 -1.58445  9.76231  -0.2526   2.7411 -1.49508  5.91704  2.79911 -7.38625  5.70028 -2.82194
IG034	  -43.411  -32.7671  -78.9865   31.5979   159.068  -6.68242   3.70332  -9.10139   4.79379   83.5775 -0.667113   1.74209   13.3425   2.26487  -1.82106   -9.7699   2.59587   3.50535  -6.95647  0.634081
IG036	 -37.6372  -23.8027  -78.1087   36.9806   153.386  -2.76879 -0.941332  -8.47762   9.01615   68.5312   2.98253   3.39751    2.9861  -8.72412   1.96954    13.626  -8.37016   7.45698   -1.8461  -6.95997
IG037-P1	 -57.0317  -11.3215  -101.648   58.2074    157.08  -12.9304   6.70168  -14.8053     10.67   82.8101   2.71337   -2.0881   12.8945  -5.91372 -0.886397  -1.93541   -2.1056  -2.64873   10.1682  -1.48573
IG038-P1	    80.5629    -2.84597    -34.7744     15.7702     143.054    -2.01978     5.80087    -18.7948     12.8718     78.5455     1.75455     4.80281    -5.32185    -17.0556     2.45004    -3.61132     3.01795     2.84516 -0.00829935    -14.5173
IG042-P1	-53.6546 -19.5383  -93.297  50.9998  145.747 -22.0128  8.35034 -9.48832 -5.33194  78.4031  4.42255 -5.43251 -6.40657 -8.61928 -4.21623  -5.2243  2.17136 -6.13028 -1.83005  7.03747
IG043-P1	 -59.9026  -11.4804  -101.585   56.7796   156.696  -6.92251   8.56933  -21.1978    15.315   94.5625  -0.15104 -0.353065   2.63395  -2.54584   -2.5883  0.253149   14.4022  -9.99164 -0.604868   5.24346
IG044-P1	-58.9204  -12.326 -96.9289  53.9266  160.563 -14.2525  9.15873 -17.5687  7.69594  81.2504 0.295388 0.228115  5.18153 -7.87545 -0.21143 -8.44639  3.55612  4.22038  5.70356  8.46021
IG045-P1	-51.3876 -30.7443  -78.622  38.3739  149.993  -7.2469  2.60386 -12.1452  4.32782  73.0031  9.74947 -9.70466  7.59149  3.19962 0.625833  10.6664 -1.11108 -2.22702 -0.15989  -8.9133
IG047-P1	-21.0021 -9.88781  -89.382  44.5237  158.864  9.75689  4.53137  -12.621  22.8573  105.246   6.1583  1.30505  -1.4238  1.23173  1.92666  5.87996  2.10132 0.232019 -3.73199 -10.9528
IG048-P1	-59.6812 -19.1608 -88.2687  48.2773  173.046 -5.64854  6.61721 -16.7562  12.5076   103.04  7.22056  2.35749    11.36  4.65961  2.33288  2.30946 0.571224  12.0072  7.15611 -8.84103
IG049-P1	-57.6158 -16.0924 -104.251  53.6753  157.576 -11.2604  9.43987 -21.2028  13.2131  99.1081 -3.71119  3.86688 -1.38397   3.9759  1.41776 -11.5666  7.17665 -7.69318  7.02192  12.0348
IG051-P1	 -33.0939  -7.91062  -93.0977   63.0002   169.382  -8.03045   3.98246  -12.8712   13.9061   108.871   6.01182   2.23104   2.62413  -5.89013 -0.475148   10.1123  -1.63792   2.82359  -8.04098  -3.22165
IG052-P1	  -58.2094   -24.7011   -91.1743    40.3514      169.6    7.33006      9.546   -9.53638    11.6377    112.107    5.40705   -1.39503    1.03786 -0.0114163    1.96293    1.19275    5.01722    2.89482   -3.39821   -6.96412
IG053-P1	-61.1756 -18.8619 -98.3343  53.3355  169.483 -4.47634   10.256 -17.5918  11.6599  110.745  5.85044 -1.25683  5.61658  2.26333 0.831987  -11.136 -2.30286  13.7397 -3.82555  -6.0795
IG054-P1	-47.5942 -27.6991 -81.1911  43.9389  158.712 -15.1659  5.34182  -14.295  12.7527  96.9126 -3.01062   12.905 -6.43882  2.21782 0.950596  18.5826  10.9428 -7.40026  3.32132  9.39546
IG055-P1	 -59.7146  -15.7008  -99.6337    51.423   166.141    3.1396   6.32781  -19.6334    20.733   93.8584   5.84776   1.34953 -0.099807   2.05934   1.61753   5.81002  -4.46406    10.313  -1.02357   5.06309
